legislator,role,district,party,residence,gender,desk_number,profession,notes,session
"Alonso Leon, Teresa",,22,D,"Brooks, Gervais, Salem, Woodburn",Female,36,Government and Public Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Barker, Jeff",,28,D,Portion of Washington,Male,3,Retired,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Barnhart, Phil",,11,D,Portions of Lane and Linn,Male,60,Government and Public Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Barreto, Greg",,58,R,"Union, Wallowa and portion of Umatilla",Male,41,Business Management and Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Boles, Denyc",,19,R,Portion of Marion,Female,48,Government and Public Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Bonham, Daniel",,59,R,"Jefferson, Wheeler and portions of Deschutes and Wasco",Male,7,Business Management and Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Boone, Deborah",,32,D,Clatsop and portions of Tillamook and Washington,Female,38,Business Management and Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Buehler, Knute",,54,R,Portion of Deschutes,Male,39,Health Science,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Bynum, Janelle",,51,D,Portions of Clackamas and Multnomah,Female,35,Business Management and Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Clem, Brian",,21,D,Portion of Marion,Male,46,Business Management and Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Doherty, Margaret",,35,D,Portions of Multnomah and Washington,Female,17,Education and Training,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Esquivel, Sal",,6,R,Portion of Jackson,Male,56,"Marketing, Sales and Service",,"Session : 2018 Special Session - May 21, 2018 (60)"
"Evans, Paul",,20,D,Portions of Marion and Polk,Male,14,Education and Training,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Fahey, Julie",,14,D,Portion of Lane,Female,30,Business Management and Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Findley, Lynn",,60,R,"Baker, Grant, Harney, Malheur and portions of Lake",Male,47,Retired,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Gomberg, David",,10,D,"Portions of Lincoln, Polk, Tillamook and Yamhill",Male,43,Business Management and Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Gorsek, Chris",,49,D,Portion of Multnomah,Male,28,Education and Training,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Greenlick, Mitch",,33,D,Portions of Multnomah and Washington,Male,4,Education and Training,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Hayden, Cedric",,7,R,Portions of Douglas and Lane,Male,40,Health Science,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Helfrich, Jeffrey",,52,R,Hood River and portions of Clackamas and Multnomah,Male,8,Retired,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Helm, Ken",,34,D,Portion of Washington,Male,12,"Law, Public Safety, Corrections and Security",,"Session : 2018 Special Session - May 21, 2018 (60)"
"Hernandez, Diego",,47,D,Portion of Multnomah,Male,29,Business Management and Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Holvey, Paul",Speaker Pro Tempore,8,D,Portion of Lane,Male,53,"Architecture, Construction and Skilled Trade",,"Session : 2018 Special Session - May 21, 2018 (60)"
"Kennemer, Bill",,39,R,Portion of Clackamas,Male,15,Retired,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Keny-Guyer, Alissa",,46,D,Portion of Multnomah,Female,11,Business Management and Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Kotek, Tina",Speaker,44,D,Portion of Multnomah,Female,55,Business Management and Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Leif, Gary",,2,R,"Portions of Douglas, Jackson, Josephine",Male,33,Retired,"Gary Leif was appointed on May 9, 2018 to fill the vacancy of Dallas Heard who resigned on April​ 17, 2018.","Session : 2018 Special Session - May 21, 2018 (60)"
"Lewis, Rick",,18,R,Portions of Clackamas and Marion,Male,18,Retired,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Lively, John",,12,D,Portion of Lane,Male,26,Finance,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Malstrom, Sheri",,27,D,Portion of Washington,Female,19,Health Science,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Marsh, Pam",,5,D,Portion of Jackson,Female,27,Government and Public Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"McKeown, Caddy",,9,D,"Portions of Coos, Douglas, Lane and Lincoln",Female,58,Government and Public Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"McLain, Susan",,29,D,Portion of Washington,Female,20,Retired,,"Session : 2018 Special Session - May 21, 2018 (60)"
"McLane, Mike",Republican Leader,55,R,"Crook and portions of Deschutes, Jackson, Klamath and Lake",Male,50,"Law, Public Safety, Corrections and Security",,"Session : 2018 Special Session - May 21, 2018 (60)"
"Meek, Mark",,40,D,Portion of Clackamas,Male,21,"Marketing, Sales and Service",,"Session : 2018 Special Session - May 21, 2018 (60)"
"Nathanson, Nancy",,13,D,Portion of Lane,Female,59,Government and Public Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Nearman, Mike",,23,R,"Portions of Benton, Marion, Polk and Yamhill",Male,24,Information Technology,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Noble, Ron",,24,R,Portions of Washington and Yamhill,Male,16,Retired,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Nosse, Rob",,42,D,Portion of Multnomah,Male,13,Government and Public Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Olson, Andy",,15,R,Portions of Benton and Linn,Male,57,Government and Public Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Parrish, Julie",,37,R,Portions of Clackamas and Washington,Female,6,Business Management and Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Piluso, Carla",,50,D,Portion of Multnomah,Female,10,Retired,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Post, Bill",,25,R,Portion of Marion,Male,32,"Arts, Audio/Video Technology and Communications",,"Session : 2018 Special Session - May 21, 2018 (60)"
"Power, Karin",,41,D,Portions of Clackamas and Multnomah,Female,22,"Law, Public Safety, Corrections and Security",,"Session : 2018 Special Session - May 21, 2018 (60)"
"Rayfield, Dan",,16,D,Portion of Benton,Male,52,"Law, Public Safety, Corrections and Security",,"Session : 2018 Special Session - May 21, 2018 (60)"
"Reardon, Jeff",,48,D,Portions of Clackamas and Multnomah,Male,45,Education and Training,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Reschke, E. Werner",,56,R,Portions of Klamath and Lake,Male,25,"Marketing, Sales and Service",,"Session : 2018 Special Session - May 21, 2018 (60)"
"Salinas, Andrea",,38,D,Portions of Clackamas and Multnomah,Female,37,Government and Public Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Sanchez, Tawna",,43,D,Portion of Multnomah,Female,9,Human Services,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Smith Warner, Barbara",,45,D,Portion of Multnomah,Female,44,Government and Public Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Smith, David Brock",,1,R,"Curry and portions of Coos, Douglas and Josephine",Male,1,Business Management and Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Smith, Greg",,57,R,"Gilliam, Morrow, Sherman and portions of Umatilla and Wasco",Male,23,Business Management and Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Sollman, Janeen",,30,D,Portion of Washington,Female,5,"Marketing, Sales and Service",,"Session : 2018 Special Session - May 21, 2018 (60)"
"Sprenger, Sherrie",,17,R,Portions of Linn and Marion,Female,49,Business Management and Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Stark, Duane",,4,R,Portions of Jackson and Josephine,Male,31,Clergy,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Vial, A. Richard",,26,R,"Portions of Clackamas, Washington and Yamhill",Male,2,"Agriculture, Food and Natural Resources",,"Session : 2018 Special Session - May 21, 2018 (60)"
"Whisnant, Gene",,53,R,Portion of Deschutes,Male,34,Retired,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Williamson, Jennifer",Democratic Leader,36,D,Portion of Multnomah,Female,51,"Law, Public Safety, Corrections and Security",,"Session : 2018 Special Session - May 21, 2018 (60)"
"Wilson, Carl",,3,R,Portion of Josephine,Male,42,"Arts, Audio/Video Technology and Communications",,"Session : 2018 Special Session - May 21, 2018 (60)"
"Witt, Bradley",,31,D,Columbia and portions of Multnomah and Washington,Male,54,Government and Public Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Alonso Leon, Teresa",,22,D,"Brooks, Gervais, Salem, Woodburn",Female,36,Government and Public Administration,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Barker, Jeff",,28,D,Portion of Washington,Male,3,Retired,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Barnhart, Phil",,11,D,Portions of Lane and Linn,Male,60,Government and Public Administration,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Barreto, Greg",,58,R,"Union, Wallowa and portion of Umatilla",Male,41,Business Management and Administration,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Boles, Denyc",,19,R,Portion of Marion,Female,48,Government and Public Administration,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Bonham, Daniel",,59,R,"Jefferson, Wheeler and portions of Deschutes and Wasco",Male,7,Business Management and Administration,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Boone, Deborah",,32,D,Clatsop and portions of Tillamook and Washington,Female,38,Business Management and Administration,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Buehler, Knute",,54,R,Portion of Deschutes,Male,39,Health Science,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Bynum, Janelle",,51,D,Portions of Clackamas and Multnomah,Female,35,Business Management and Administration,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Clem, Brian",,21,D,Portion of Marion,Male,46,Business Management and Administration,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Doherty, Margaret",,35,D,Portions of Multnomah and Washington,Female,17,Education and Training,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Esquivel, Sal",,6,R,Portion of Jackson,Male,56,"Marketing, Sales and Service",,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Evans, Paul",,20,D,Portions of Marion and Polk,Male,14,Education and Training,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Fahey, Julie",,14,D,Portion of Lane,Female,30,Business Management and Administration,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Findley, Lynn",,60,R,"Baker, Grant, Harney, Malheur and portions of Lake",Male,47,Retired,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Gomberg, David",,10,D,"Portions of Lincoln, Polk, Tillamook and Yamhill",Male,43,Business Management and Administration,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Gorsek, Chris",,49,D,Portion of Multnomah,Male,28,Education and Training,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Greenlick, Mitch",,33,D,Portions of Multnomah and Washington,Male,4,Education and Training,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Hayden, Cedric",,7,R,Portions of Douglas and Lane,Male,40,Health Science,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Heard, Dallas",,2,R,"Portions of Douglas, Jackson, Josephine",Male,33,"Architecture, Construction and Skilled Trade","Dallas Heard resigned on April 17, 2018. Gray Leif was appointed on May 9, 2018 to fill the vacancy.","Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Helfrich, Jeffrey",,52,R,Hood River and portions of Clackamas and Multnomah,Male,8,Retired,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Helm, Ken",,34,D,Portion of Washington,Male,12,"Law, Public Safety, Corrections and Security",,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Hernandez, Diego",,47,D,Portion of Multnomah,Male,29,Business Management and Administration,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Holvey, Paul",Speaker Pro Tempore,8,D,Portion of Lane,Male,53,"Architecture, Construction and Skilled Trade",,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Kennemer, Bill",,39,R,Portion of Clackamas,Male,15,Retired,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Keny-Guyer, Alissa",,46,D,Portion of Multnomah,Female,11,Business Management and Administration,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Kotek, Tina",Speaker,44,D,Portion of Multnomah,Female,55,Business Management and Administration,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Lewis, Rick",,18,R,Portions of Clackamas and Marion,Male,18,Retired,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Lively, John",,12,D,Portion of Lane,Male,26,Finance,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Malstrom, Sheri",,27,D,Portion of Washington,Female,19,Health Science,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Marsh, Pam",,5,D,Portion of Jackson,Female,27,Government and Public Administration,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"McKeown, Caddy",,9,D,"Portions of Coos, Douglas, Lane and Lincoln",Female,58,Government and Public Administration,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"McLain, Susan",,29,D,Portion of Washington,Female,20,Retired,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"McLane, Mike",Republican Leader,55,R,"Crook and portions of Deschutes, Jackson, Klamath and Lake",Male,50,"Law, Public Safety, Corrections and Security",,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Meek, Mark",,40,D,Portion of Clackamas,Male,21,"Marketing, Sales and Service",,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Nathanson, Nancy",,13,D,Portion of Lane,Female,59,Government and Public Administration,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Nearman, Mike",,23,R,"Portions of Benton, Marion, Polk and Yamhill",Male,24,Information Technology,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Noble, Ron",,24,R,Portions of Washington and Yamhill,Male,16,Retired,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Nosse, Rob",,42,D,Portion of Multnomah,Male,13,Government and Public Administration,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Olson, Andy",,15,R,Portions of Benton and Linn,Male,57,Government and Public Administration,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Parrish, Julie",,37,R,Portions of Clackamas and Washington,Female,6,Business Management and Administration,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Piluso, Carla",,50,D,Portion of Multnomah,Female,10,Retired,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Post, Bill",,25,R,Portion of Marion,Male,32,"Arts, Audio/Video Technology and Communications",,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Power, Karin",,41,D,Portions of Clackamas and Multnomah,Female,22,"Law, Public Safety, Corrections and Security",,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Rayfield, Dan",,16,D,Portion of Benton,Male,52,"Law, Public Safety, Corrections and Security",,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Reardon, Jeff",,48,D,Portions of Clackamas and Multnomah,Male,45,Education and Training,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Reschke, E. Werner",,56,R,Portions of Klamath and Lake,Male,25,"Marketing, Sales and Service",,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Salinas, Andrea",,38,D,Portions of Clackamas and Multnomah,Female,37,Government and Public Administration,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Sanchez, Tawna",,43,D,Portion of Multnomah,Female,9,Human Services,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Smith Warner, Barbara",,45,D,Portion of Multnomah,Female,44,Government and Public Administration,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Smith, David Brock",,1,R,"Curry and portions of Coos, Douglas and Josephine",Male,1,Business Management and Administration,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Smith, Greg",,57,R,"Gilliam, Morrow, Sherman and portions of Umatilla and Wasco",Male,23,Business Management and Administration,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Sollman, Janeen",,30,D,Portion of Washington,Female,5,"Marketing, Sales and Service",,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Sprenger, Sherrie",,17,R,Portions of Linn and Marion,Female,49,Business Management and Administration,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Stark, Duane",,4,R,Portions of Jackson and Josephine,Male,31,Clergy,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Vial, A. Richard",,26,R,"Portions of Clackamas, Washington and Yamhill",Male,2,"Agriculture, Food and Natural Resources",,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Whisnant, Gene",,53,R,Portion of Deschutes,Male,34,Retired,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Williamson, Jennifer",Democratic Leader,36,D,Portion of Multnomah,Female,51,"Law, Public Safety, Corrections and Security",,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Wilson, Carl",,3,R,Portion of Josephine,Male,42,"Arts, Audio/Video Technology and Communications",,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Witt, Bradley",,31,D,Columbia and portions of Multnomah and Washington,Male,54,Government and Public Administration,,"Session : 2018 Session - February 5 - March 3, 2018 (60)"
"Alonso Leon, Teresa",,22,D,"Brooks, Gervais, Salem, Woodburn",Female,36,Government and Public Administration,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Barker, Jeff",,28,D,Portion of Washington,Male,3,Retired,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Barnhart, Phil",,11,D,Portions of Lane and Linn,Male,60,Government and Public Administration,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Barreto, Greg",,58,R,"Union, Wallowa and portion of Umatilla",Male,41,Business Management and Administration,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Bentz, Cliff",,60,R,"Baker, Grant, Harney, Malheur and portions of Lake",Male,47,"Law, Public Safety, Corrections and Security","Cliff Bentz resigned on January 8, 2017. Lynn Findley was appointed on January 30, 2018 to fill the vacancy.","Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Boone, Deborah",,32,D,Clatsop and portions of Tillamook and Washington,Female,38,Business Management and Administration,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Buehler, Knute",,54,R,Portion of Deschutes,Male,39,Health Science,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Bynum, Janelle",,51,D,Portions of Clackamas and Multnomah,Female,35,Business Management and Administration,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Clem, Brian",,21,D,Portion of Marion,Male,46,Business Management and Administration,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Doherty, Margaret",,35,D,Portions of Multnomah and Washington,Female,17,Education and Training,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Esquivel, Sal",,6,R,Portion of Jackson,Male,56,"Marketing, Sales and Service",,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Evans, Paul",,20,D,Portions of Marion and Polk,Male,14,Education and Training,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Fahey, Julie",,14,D,Portion of Lane,Female,30,Business Management and Administration,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Gilliam, Vic",,18,R,Portions of Clackamas and Marion,Male,18,"Marketing, Sales and Service","Vic Gilliam resigned on February 1, 2017. Rick Lewis was appointed on February 23, 2017 to fill the vacancy.","Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Gomberg, David",,10,D,"Portions of Lincoln, Polk, Tillamook and Yamhill",Male,43,Business Management and Administration,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Gorsek, Chris",,49,D,Portion of Multnomah,Male,28,Education and Training,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Greenlick, Mitch",,33,D,Portions of Multnomah and Washington,Male,4,Education and Training,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Hack, Jodi",,19,R,Portion of Marion,Female,49,Finance,"Jodi Hack resigned on December 31, 2017. Denyc Boles was appointed on January 26, 2018 to fill the vacancy.","Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Hayden, Cedric",,7,R,Portions of Douglas and Lane,Male,40,Health Science,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Heard, Dallas",,2,R,"Portions of Douglas, Jackson, Josephine",Male,33,"Architecture, Construction and Skilled Trade",,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Helm, Ken",,34,D,Portion of Washington,Male,12,"Law, Public Safety, Corrections and Security",,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Hernandez, Diego",,47,D,Portion of Multnomah,Male,29,Business Management and Administration,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Holvey, Paul",Speaker Pro Tempore,8,D,Portion of Lane,Male,53,"Architecture, Construction and Skilled Trade",,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Huffman, John",,59,R,"Jefferson, Wheeler and portions of Deschutes and Wasco",Male,7,Architecture and Construction,"John Huffman resigned on October 28, 2017. Daniel Bonham was appointed on November 28, 2017 to fill the vacancy.","Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Johnson, Mark",,52,R,Hood River and portions of Clackamas and Multnomah,Male,8,Architecture and Construction,"Mark Johnson resigned on November 6, 2017. Jeff Helfrich was appointed on December 6, 2017 to fill the vacancy.","Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Kennemer, Bill",,39,R,Portion of Clackamas,Male,15,Retired,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Keny-Guyer, Alissa",,46,D,Portion of Multnomah,Female,11,Business Management and Administration,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Kotek, Tina",Speaker,44,D,Portion of Multnomah,Female,55,Business Management and Administration,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Lewis, Rick",,18,R,Portions of Clackamas and Marion,Male,18,Retired,"Rick Lewis was appointed on February 23, 2017 to fill the vacancy of Vic Gilliam who resigned on February 1, 2017.","Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Lininger, Ann",,38,D,Portions of Clackamas and Multnomah,Female,37,"Law, Public Safety, Corrections and Security","Ann Lininger resigned on August 15, 2017. Andrea Salinas was appointed on September 18, 2017 to fill the vacancy.","Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Lively, John",,12,D,Portion of Lane,Male,26,Finance,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Malstrom, Sheri",,27,D,Portion of Washington,Female,19,Health Science,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Marsh, Pam",,5,D,Portion of Jackson,Female,27,Government and Public Administration,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"McKeown, Caddy",,9,D,"Portions of Coos, Douglas, Lane and Lincoln",Female,58,Government and Public Administration,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"McLain, Susan",,29,D,Portion of Washington,Female,20,Retired,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"McLane, Mike",Republican Leader,55,R,"Crook and portions of Deschutes, Jackson, Klamath and Lake",Male,50,"Law, Public Safety, Corrections and Security",,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Meek, Mark",,40,D,Portion of Clackamas,Male,21,"Marketing, Sales and Service",,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Nathanson, Nancy",,13,D,Portion of Lane,Female,59,Government and Public Administration,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Nearman, Mike",,23,R,"Portions of Benton, Marion, Polk and Yamhill",Male,24,Information Technology,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Noble, Ron",,24,R,Portions of Washington and Yamhill,Male,16,Retired,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Nosse, Rob",,42,D,Portion of Multnomah,Male,13,Government and Public Administration,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Olson, Andy",,15,R,Portions of Benton and Linn,Male,57,Government and Public Administration,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Parrish, Julie",,37,R,Portions of Clackamas and Washington,Female,6,Business Management and Administration,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Piluso, Carla",,50,D,Portion of Multnomah,Female,10,Retired,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Post, Bill",,25,R,Portion of Marion,Male,32,"Arts, Audio/Video Technology and Communications",,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Power, Karin",,41,D,Portions of Clackamas and Multnomah,Female,22,"Law, Public Safety, Corrections and Security",,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Rayfield, Dan",,16,D,Portion of Benton,Male,52,"Law, Public Safety, Corrections and Security",,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Reardon, Jeff",,48,D,Portions of Clackamas and Multnomah,Male,45,Education and Training,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Reschke, E. Werner",,56,R,Portions of Klamath and Lake,Male,25,"Marketing, Sales and Service",,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Sanchez, Tawna",,43,D,Portion of Multnomah,Female,9,Human Services,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Smith Warner, Barbara",,45,D,Portion of Multnomah,Female,44,Government and Public Administration,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Smith, David Brock",,1,R,"Curry and portions of Coos, Douglas and Josephine",Male,1,Business Management and Administration,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Smith, Greg",,57,R,"Gilliam, Morrow, Sherman and portions of Umatilla and Wasco",Male,23,Business Management and Administration,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Sollman, Janeen",,30,D,Portion of Washington,Female,5,"Marketing, Sales and Service",,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Sprenger, Sherrie",,17,R,Portions of Linn and Marion,Female,48,Business Management and Administration,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Stark, Duane",,4,R,Portions of Jackson and Josephine,Male,31,Clergy,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Vial, A. Richard",,26,R,"Portions of Clackamas, Washington and Yamhill",Male,2,"Agriculture, Food and Natural Resources",,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Whisnant, Gene",,53,R,Portion of Deschutes,Male,34,Retired,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Williamson, Jennifer",Democratic Leader,36,D,Portion of Multnomah,Female,51,"Law, Public Safety, Corrections and Security",,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Wilson, Carl",,3,R,Portion of Josephine,Male,42,"Arts, Audio/Video Technology and Communications",,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Witt, Bradley",,31,D,Columbia and portions of Multnomah and Washington,Male,54,Government and Public Administration,,"Session : 2017 Session - January 9 - July 7, 2017 (61)"
"Barker, Jeff",,28,D,Portion of Washington,Male,3,Retired,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Barnhart, Phil",,11,D,Portions of Lane and Linn,Male,58,Government and Public Administration,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Barreto, Greg",,58,R,"Union, Wallowa and portion of Umatilla",Male,1,Business Management and Administration,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Barton, Brent",,40,D,Portion of Clackamas,Male,35,"Law, Public Safety, Corrections and Security",,"Session : 2016 Session - February 1-March 3, 2016 (60)"
