session_name,Legislator,District,Role,Party,Residence,Gender,Desk Number,Profession,Notes,session_year,regular
1851 Regular,"Wilcox, Ralph",17,NA,NA,Washington,Male,NA,NA,NA,1851,TRUE
1851 Regular,"King, William M.",18,Speaker,NA,Washington,Male,NA,NA,NA,1851,TRUE
1851 Regular,"Bishop, Z.C.",19,NA,NA,Washington,Male,NA,NA,NA,1851,TRUE
1851 Regular,"Brownfield, D.F.",19,NA,W,"Clatsop, Pacific",Male,NA,NA,"A.E. Wait, W.T. Matlock and D.F. Brownfield refused to go to Salem where the majority of the members had assembled. They met in the territorial library room at Oregon City, and, not having a quorum, adjourned from day to day for two weeks then disbanded.",1851,TRUE
1851 Regular,"Hembree, A.J.",20,NA,D,Yamhill,Male,NA,NA,NA,1851,TRUE
1851 Regular,"McSween, Samuel",21,NA,NA,Yamhill,Male,NA,NA,NA,1851,TRUE
1851 Regular,"Kinney,R.C.",22,NA,NA,Yamhill,Male,NA,NA,NA,1851,TRUE
1852 Regular,"Avery, J.C.",1,NA,W,Benton,Male,NA,NA,NA,1852,TRUE
1852 Regular,"Cole, G.E.",2,NA,D,Benton,Male,NA,NA,NA,1852,TRUE
1852 Regular,"Richardson, John",2,NA,D,Yamhill,Male,NA,NA,NA,1852,TRUE
1852 Regular,"Matlock, W.T.",3,NA,F,Clackamas,Male,NA,NA,NA,1852,TRUE
1852 Regular,"Wait, A.E.",4,NA,F,Clackamas,Male,NA,NA,NA,1852,TRUE
1852 Regular,"Whitcomb, Lot",5,NA,F,Clackamas,Male,NA,NA,NA,1852,TRUE
1852 Regular,"Anderson, John A.",6,NA,D,Clatsop,Male,NA,NA,NA,1852,TRUE
1852 Regular,"Chenoweth, F.A.",7,NA,D,"Clarke, Lewis",Male,NA,NA,NA,1852,TRUE
1852 Regular,"Curtis, Mr.",8,NA,W,Douglas,Male,NA,NA,NA,1852,TRUE
1852 Regular,"Hardin, J.R.",9,NA,D,Jackson,Male,NA,NA,NA,1852,TRUE
1852 Regular,"Aubrey, Thomas N.",10,NA,W,Lane,Male,NA,NA,NA,1852,TRUE
1852 Regular,"Curl, James",11,NA,W,Linn,Male,NA,NA,NA,1852,TRUE
1852 Regular,"Cottle, Royal",12,NA,D,Linn,Male,NA,NA,NA,1852,TRUE
1852 Regular,"Harding, B.F.",13,Speaker,D,Marion,Male,NA,NA,NA,1852,TRUE
1852 Regular,"Simpson, Benjamin",14,NA,D,Marion,Male,NA,NA,NA,1852,TRUE
1852 Regular,"Conser, Jacob",15,NA,D,Marion,Male,NA,NA,NA,1852,TRUE
1852 Regular,"Fulkerson, J. M.",16,NA,D,Polk,Male,NA,NA,NA,1852,TRUE
1852 Regular,"Holmes, H.N.V.",17,NA,D,Polk,Male,NA,NA,NA,1852,TRUE
1852 Regular,"Gibbs, A.C.",18,NA,D,Umpqua,Male,NA,NA,NA,1852,TRUE
1852 Regular,"Eby, Isaac N.",19,NA,D,Thurston,Male,NA,NA,NA,1852,TRUE
1852 Regular,"Martin, F.B.",21,NA,F,Yamhill,Male,NA,NA,NA,1852,TRUE
1852 Regular,"Carey, John",22,NA,F,Yamhill,Male,NA,NA,NA,1852,TRUE
1852 Regular,"Stark, Benjamin",23,NA,W,Washington,Male,NA,NA,NA,1852,TRUE
1852 Regular,"Tuttle, Milton",24,NA,W,Washington,Male,NA,NA,NA,1852,TRUE
1852 Regular,"Mitchell, Israel",25,NA,W,Washington,Male,NA,NA,NA,1852,TRUE
1853 Regular,"Cason, F.C.",1,NA,D,Clackamas,Male,NA,NA,NA,1853,TRUE
1853 Regular,"Cartee, L.F.",2,NA,D,Clackamas,Male,NA,NA,NA,1853,TRUE
1853 Regular,"Jackson, B.B.",3,NA,D,Clackamas,Male,NA,NA,NA,1853,TRUE
1853 Regular,"Grover, L.F.",4,NA,D,Marion,Male,NA,NA,NA,1853,TRUE
1853 Regular,"Colby, E.F.",6,NA,D,Marion,Male,NA,NA,NA,1853,TRUE
1853 Regular,"Elkins, Luther",7,NA,D,Linn,Male,NA,NA,NA,1853,TRUE
1853 Regular,"Goff, Stephen",9,NA,W,Lane,Male,NA,NA,NA,1853,TRUE
1853 Regular,"Hadley, H.B.",10,NA,D,Lane,Male,NA,NA,NA,1853,TRUE
1853 Regular,"Miller, John F.",11,NA,D,Jackson,Male,NA,NA,NA,1853,TRUE
1853 Regular,"Nye, Chauncey",12,NA,W,Jackson,Male,NA,NA,NA,1853,TRUE
1853 Regular,"Ambrose, George H.",13,NA,D,Jackson,Male,NA,NA,NA,1853,TRUE
1853 Regular,"Bennett, James A.",14,NA,D,Benton,Male,NA,NA,NA,1853,TRUE
1853 Regular,"Chapman, C.F.",15,NA,D,Benton,Male,NA,NA,NA,1853,TRUE
1853 Regular,"Gilliam, W.S.",17,NA,D,Polk,Male,NA,NA,NA,1853,TRUE
1853 Regular,"Shuck, Andrew",18,NA,D,Yamhill,Male,NA,NA,NA,1853,TRUE
1853 Regular,"Westerfield, A.B.",19,NA,D,Yamhill,Male,NA,NA,NA,1853,TRUE
1853 Regular,"Humason, Orlando",20,NA,D,Yamhill,Male,NA,NA,NA,1853,TRUE
1853 Regular,"Durham, A.A.",21,NA,W,Washington,Male,NA,NA,NA,1853,TRUE
1853 Regular,"Bishop, Z.C.",22,Speaker,D,Washington,Male,NA,NA,NA,1853,TRUE
1853 Regular,"Boise, R.P.",22,NA,D,"Polk, Tillamook",Male,NA,NA,NA,1853,TRUE
1853 Regular,"Thompson, Robert",23,NA,D,Washington,Male,NA,NA,NA,1853,TRUE
1853 Regular,"Moffitt, J.W.",24,NA,D,Clatsop,Male,NA,NA,NA,1853,TRUE
1853 Regular,"Thompson, L.S.",25,NA,W,Douglas,Male,NA,NA,NA,1853,TRUE
1853 Regular,"Martin, E.B.",26,NA,D,Yamhill,Male,NA,NA,NA,1853,TRUE
1853 Regular,"Peebles, John C.",NA,NA,D,Marion,Male,NA,NA,NA,1853,TRUE
1853 Regular,"Smith, I.N.",NA,NA,D,Linn,Male,NA,NA,NA,1853,TRUE
1854 Regular,"Butler, Ira F.M.",1,NA,NA,Polk,Male,NA,NA,NA,1854,TRUE
1854 Regular,"St. Clair, Wayman",1,NA,NA,Benton,Male,NA,NA,NA,1854,TRUE
1854 Regular,"Hinton, R.B.",2,NA,NA,Benton,Male,NA,NA,NA,1854,TRUE
1854 Regular,"Cartee, L.F.",3,Speaker,NA,Clackamas,Male,NA,NA,NA,1854,TRUE
1854 Regular,"Starkweather, W.A.",4,NA,NA,Clackamas,Male,NA,NA,NA,1854,TRUE
1854 Regular,"Lovejoy, A.L.",5,NA,NA,Clackamas,Male,NA,NA,NA,1854,TRUE
1854 Regular,"Coffinberry, G.W.",6,NA,NA,Clatsop,Male,NA,NA,NA,1854,TRUE
1854 Regular,"Gazley, James F",7,NA,NA,Douglas,Male,NA,NA,NA,1854,TRUE
1854 Regular,"Dunn, Patrick",8,NA,NA,Jackson,Male,NA,NA,NA,1854,TRUE
1854 Regular,"McIntire, Alex",9,NA,NA,Jackson,Male,NA,NA,NA,1854,TRUE
1854 Regular,"Patterson,  A.W.",10,NA,NA,Lane,Male,NA,NA,NA,1854,TRUE
1854 Regular,"Gillespie, Jacob",11,NA,NA,Lane,Male,NA,NA,NA,1854,TRUE
1854 Regular,"Elkins, Luther",12,NA,NA,Linn,Male,NA,NA,NA,1854,TRUE
1854 Regular,"Smith, Delazon",13,NA,NA,Linn,Male,NA,NA,NA,1854,TRUE
1854 Regular,"Brown, Hugh L.",14,NA,NA,Linn,Male,NA,NA,NA,1854,TRUE
1854 Regular,"Crandall, C.P.",15,NA,NA,Marion,Male,NA,NA,NA,1854,TRUE
1854 Regular,"Geer, R.C.",16,NA,NA,Marion,Male,NA,NA,NA,1854,TRUE
1854 Regular,"Ford, N.",17,NA,NA,Marion,Male,NA,NA,NA,1854,TRUE
1854 Regular,"Holmes, H.N.V.",18,NA,NA,Polk,Male,NA,NA,NA,1854,TRUE
1854 Regular,"Tanner, E.S.",20,NA,NA,Washingrton,Male,NA,NA,NA,1854,TRUE
1854 Regular,"Belknap, D.H.",21,NA,NA,Washington,Male,NA,NA,NA,1854,TRUE
1854 Regular,"Humason, Orlando",22,NA,NA,Wasco,Male,NA,NA,NA,1854,TRUE
1854 Regular,"Hembree, A.J.",23,NA,NA,Yamhill,Male,NA,NA,NA,1854,TRUE
1854 Regular,"Henry, A.G.",24,NA,NA,Yamhill,Male,NA,NA,NA,1854,TRUE
1854 Regular,"Ladd, Robert",25,NA,NA,Umpqua,Male,NA,NA,NA,1854,TRUE
1854 Regular,"Condon, J.B.",26,NA,NA,Columbia,Male,NA,NA,NA,1854,TRUE
1854 Regular,"Drew, C.S.",27,NA,NA,Jackson,Male,NA,NA,NA,1854,TRUE
1854 Regular,"Walker, Jesse",28,NA,NA,Jackson,Male,NA,NA,NA,1854,TRUE
1854 Regular,"Logan, David",29,NA,NA,Multnomah,Male,NA,NA,NA,1854,TRUE
1858 Session,"Nichols, Henry B.",1,NA,R,Benton,Male,NA,NA,NA,1858,TRUE
1858 Session,"Slater, James H.",2,NA,R,Benton,Male,NA,NA,NA,1858,TRUE
1858 Session,"Hannah, Dolphus B",3,NA,D,Clackamas,Male,NA,NA,NA,1858,TRUE
1858 Session,"Hedges, Absolom F.",4,NA,D,Clackamas,Male,NA,NA,NA,1858,TRUE
1858 Session,"Jennings, Berryman",5,NA,D,Clackamas,Male,NA,NA,NA,1858,TRUE
1858 Session,"Morrison, Robert W.",6,NA,D,"Clatsop, Tillamook",Male,NA,NA,NA,1858,TRUE
1858 Session,"Hoyt, Nelson",7,NA,D,"Columbia, Washington",Male,NA,NA,NA,1858,TRUE
1858 Session,"Tichenor, William",8,NA,D,"Coos, Curry",Male,NA,NA,NA,1858,TRUE
1858 Session,"Norris, Thomas",9,NA,D,Douglas,Male,NA,NA,NA,1858,TRUE
1858 Session,"McCully, John W.",11,NA,R,Jackson,Male,NA,NA,NA,1858,TRUE
1858 Session,"McGee, A. G.",11,NA,D,Douglas,Male,NA,NA,NA,1858,TRUE
1858 Session,"Newcomb, Daniel",12,NA,D,Jackson,Male,NA,NA,NA,1858,TRUE
1858 Session,"T'Vault, William",13,Speaker,D,Jackson,Male,NA,NA,NA,1858,TRUE
1858 Session,"Holton, D. B.",14,NA,D,Josephine,Male,NA,NA,NA,1858,TRUE
1858 Session,"Cruzan, A.J.",15,NA,D,Lane,Male,NA,NA,NA,1858,TRUE
1858 Session,"Cochran, R.B.",16,NA,D,Lane,Male,NA,NA,NA,1858,TRUE
1858 Session,"Patterson, A. S.",17,NA,D,Lane,Male,NA,NA,NA,1858,TRUE
1858 Session,"Craner, N.H.",18,NA,D,Linn,Male,NA,NA,NA,1858,TRUE
1858 Session,"Crooks, J. T.",19,NA,D,Linn,Male,NA,NA,NA,1858,TRUE
1858 Session,"McIninch, E. E.",20,NA,D,Linn,Male,NA,NA,NA,1858,TRUE
1858 Session,"Thomas, T. T.",21,NA,D,Linn,Male,NA,NA,NA,1858,TRUE
1858 Session,"Bonham, B.F.",22,NA,D,Marion,Male,NA,NA,"This is a list of legislators, officers and staff which convened July 5, 1858, prior to the time that Oregon was admitted as a state. Both branches of the legislature met at Salem on July 5, remaining in session four days. Because there was doubts as to whether Oregon had yet been admitted, owing to the impossibility of direct and speedy communication with the national capital, it was decided to adjourn until September of the same year. On September 13 part of the members of both branches of the legislature assembled at the Capitol. It appearing that the State had not yet been admitted again so they adjourned. The Territorial Legislature, as had been its usual custom, then convened in December 6, 1858, and transacted the business of the State as usual during the session, which lasted until January 22, 1859",1858,TRUE
1858 Session,"Harding, B. F.",23,NA,D,Marion,Male,NA,NA,NA,1858,TRUE
1858 Session,"Lansater, J. H.",24,NA,D,Marion,Male,NA,NA,NA,1858,TRUE
1858 Session,"Stevens, J. H.",25,NA,D,Marion,Male,NA,NA,NA,1858,TRUE
1858 Session,"Dryer, T.J.",26,NA,D,Multnomah,Male,NA,NA,NA,1858,TRUE
1858 Session,"Shelby, A. D.",27,NA,D,Multnomah,Male,NA,NA,NA,1858,TRUE
1858 Session,"Burch, B.F.",28,NA,D,Polk,Male,NA,NA,NA,1858,TRUE
1858 Session,"Wait, J. K.",29,NA,D,Polk,Male,NA,NA,NA,1858,TRUE
1858 Session,"Cozad, J.M.",30,NA,D,Umpqua,Male,NA,NA,NA,1858,TRUE
1858 Session,"Bowlby, W.",31,NA,R,Washington,Male,NA,NA,NA,1858,TRUE
1858 Session,"Trevitt, Victor",32,NA,D,Wasco,Male,NA,NA,NA,1858,TRUE
1858 Session,"Shuck, A.",33,NA,R,Yamhill,Male,NA,NA,NA,1858,TRUE
1859 Special Session,"Nickols, Henry B.",1,NA,R,Benton,Male,NA,NA,NA,1859,FALSE
1859 Special Session,"Bonham, B. F.",2,NA,D,Marion,Male,NA,NA,NA,1859,FALSE
1859 Special Session,"Slater, James H.",2,NA,R,Benton,Male,NA,NA,NA,1859,FALSE
1859 Special Session,"Hannah, Dolphus B.",3,NA,D,Clackamas,Male,NA,NA,NA,1859,FALSE
1859 Special Session,"Jennings, Berryman",5,NA,D,Clackamas,Male,NA,NA,NA,1859,FALSE
1859 Special Session,"Morrison, Robert W.",6,NA,D,"Clatsop, Tillamook",Male,NA,NA,NA,1859,FALSE
1859 Special Session,"Hoyt, Nelson",7,NA,D,"Columbia, Washington",Male,NA,NA,NA,1859,FALSE
1859 Special Session,"Tichenor, William",8,NA,D,"Coos, Curry",Male,NA,NA,NA,1859,FALSE
1859 Special Session,"Norris, Thomas",9,NA,D,Douglas,Male,NA,NA,NA,1859,FALSE
1859 Special Session,"McGee, A. G.",10,NA,D,Douglas,Male,NA,NA,NA,1859,FALSE
1859 Special Session,McCully John W.,11,NA,D,Jackson,Male,NA,NA,NA,1859,FALSE
1859 Special Session,"Newcomb, Daniel",11,NA,D,Jackson,Male,NA,NA,NA,1859,FALSE
1859 Special Session,"T'Vault, William",13,Speaker,D,Jackson,Male,NA,NA,NA,1859,FALSE
1859 Special Session,"Holton, D. S.",14,NA,D,Josephine,Male,NA,NA,NA,1859,FALSE
1859 Special Session,"Cruzan, A. J.",15,NA,D,Lane,Male,NA,NA,NA,1859,FALSE
1859 Special Session,"Cochran, R. B.",16,NA,D,Lane,Male,NA,NA,NA,1859,FALSE
1859 Special Session,"Patterson, A. S.",17,NA,D,Lane,Male,NA,NA,NA,1859,FALSE
1859 Special Session,"Craner, N. H.",18,NA,D,Linn,Male,NA,NA,NA,1859,FALSE
1859 Special Session,"Crooks, J. T.",19,NA,D,Linn,Male,NA,NA,NA,1859,FALSE
1859 Special Session,"McIninch, E. E.",20,NA,D,Linn,Male,NA,NA,NA,1859,FALSE
1859 Special Session,"Thomas, T. T.",21,NA,D,Linn,Male,NA,NA,NA,1859,FALSE
1859 Special Session,"Harding, B. F.",23,NA,D,Marion,Male,NA,NA,NA,1859,FALSE
1859 Special Session,"Lansater, J. H.",24,NA,D,Marion,Male,NA,NA,NA,1859,FALSE
1859 Special Session,"Stevens, J. H.",25,NA,D,Marion,Male,NA,NA,NA,1859,FALSE
1859 Special Session,"Dryer, T. J.",26,NA,D,Multnomah,Male,NA,NA,NA,1859,FALSE
1859 Special Session,"Shelby, A. D.",27,NA,D,Multnomah,Male,NA,NA,NA,1859,FALSE
1859 Special Session,"Burch, B. F.",28,NA,D,Polk,Male,NA,NA,NA,1859,FALSE
1859 Special Session,"Wait, J. K.",29,NA,D,Polk,Male,NA,NA,NA,1859,FALSE
1859 Special Session,"Cozad, J. M.",30,NA,D,Umpqua,Male,NA,NA,NA,1859,FALSE
1859 Special Session,"Bowlby, W.",31,NA,R,Washington,Male,NA,NA,NA,1859,FALSE
1859 Special Session,"Trevitt, Victor",32,NA,D,Wasco,Male,NA,NA,NA,1859,FALSE
1859 Special Session,"Shuck, A.",33,NA,R,Yamhill,Male,NA,NA,NA,1859,FALSE
1859 Special Session,"Hedges, Absolom F.",NA,NA,D,Clackamas,Male,NA,NA,NA,1859,FALSE
1860 Session,"Hill, Reuben C.",1,NA,D,Benton,Male,NA,NA,NA,1860,TRUE
1860 Session,"Walker, M. H.",2,NA,D,Benton,Male,NA,NA,NA,1860,TRUE
1860 Session,"Holbrook, A.",3,NA,R,Clackamas,Male,NA,NA,NA,1860,TRUE
1860 Session,"Starkweather, W. A.",4,NA,R,Clackamas,Male,NA,NA,NA,1860,TRUE
1860 Session,"Eddy, John",5,NA,R,Clackamas,Male,NA,NA,NA,1860,TRUE
1860 Session,"Trenchard, C. J.",6,NA,D,"Clatsop, Tillamook",Male,NA,NA,NA,1860,TRUE
1860 Session,"Morton, S. E.",7,NA,D,"Coos, Curry",Male,NA,NA,NA,1860,TRUE
1860 Session,"Cowles, R. A.",8,NA,D,Douglas,Male,NA,NA,NA,1860,TRUE
1860 Session,"Gazley, James F.",9,NA,R,Douglas,Male,NA,NA,NA,1860,TRUE
1860 Session,"Keeler, G. W.",10,NA,D,Jackson,Male,NA,NA,NA,1860,TRUE
1860 Session,"White, J. B.",11,NA,D,Jackson,Male,NA,NA,NA,1860,TRUE
1860 Session,"Miller, J. N. T.",12,NA,D,Jackson,Male,NA,NA,NA,1860,TRUE
1860 Session,"Vining, George T.",13,NA,D,Josephine,Male,NA,NA,NA,1860,TRUE
